11660,CSCE ,101,30 - Columbia Full Term ,Introduction to Computer Concepts ,MW ,24,Rasha Elham Karakchi (P) 
11663,CSCE ,101,30 - Columbia Full Term ,Introduction to Computer Concepts ,MW ,24,Rasha Elham Karakchi (P) 
11668,CSCE ,101,30 - Columbia Full Term ,Introduction to Computer Concepts ,MW ,24,Phani Krishna Penumarthi (P) 
11670,CSCE ,101,30 - Columbia Full Term ,Introduction to Computer Concepts ,MW ,24,Phani Krishna Penumarthi (P) 
11671,CSCE ,101,30 - Columbia Full Term ,Introduction to Computer Concepts ,MW ,24,Phani Krishna Penumarthi (P) 
11675,CSCE ,101,30 - Columbia Full Term ,Introduction to Computer Concepts ,MW ,24,Allen Jeevan Kanapala (P) 
11678,CSCE ,101,30 - Columbia Full Term ,Introduction to Computer Concepts ,MW ,24,Allen Jeevan Kanapala (P) 
11681,CSCE ,101,30 - Columbia Full Term ,Introduction to Computer Concepts ,MW ,24,Allen Jeevan Kanapala (P) 
11686,CSCE ,101,30 - Columbia Full Term ,Introduction to Computer Concepts ,MW ,24,Md Modasshir (P) 
11691,CSCE ,101,30 - Columbia Full Term ,Introduction to Computer Concepts ,MW ,24,Md Modasshir (P) 
11693,CSCE ,101,30 - Columbia Full Term ,Introduction to Computer Concepts ,TR ,24,Robert Lawrence Ellis (P) 
11703,CSCE ,101,30 - Columbia Full Term ,Introduction to Computer Concepts ,TR ,24,Robert Lawrence Ellis (P) 
11713,CSCE ,101,30 - Columbia Full Term ,Introduction to Computer Concepts ,TR ,24,Robert Lawrence Ellis (P) 
11715,CSCE ,101,30 - Columbia Full Term ,Introduction to Computer Concepts ,TR ,24,Nawras Alkassab (P) 
11739,CSCE ,101,30 - Columbia Full Term ,Introduction to Computer Concepts ,TR ,24,Nawras Alkassab (P) 
23120,CSCE ,101,30 - Columbia Full Term ,Introduction to Computer Concepts ,MW ,24,Md Modasshir (P) 
28751,CSCE ,101,3B8 - Columbia ,Introduction to Computer Concepts ,  ,15,James Orren McKay (P) 
27766,CSCE ,101,3B8 - Columbia ,Introduction to Computer Concepts ,  ,15,James Orren McKay (P) 
11852,CSCE ,102,30 - Columbia Full Term ,General Applications Programming ,MW ,24,Catherine T Matthews (P) 
11853,CSCE ,102,30 - Columbia Full Term ,General Applications Programming ,MW ,24,Catherine T Matthews (P) 
11854,CSCE ,102,30 - Columbia Full Term ,General Applications Programming ,MW ,24,Catherine T Matthews (P) 
11855,CSCE ,102,30 - Columbia Full Term ,General Applications Programming ,MW ,24,Neema Jeevan Kanapala (P) 
11856,CSCE ,102,30 - Columbia Full Term ,General Applications Programming ,MW ,24,Neema Jeevan Kanapala (P) 
11858,CSCE ,102,30 - Columbia Full Term ,General Applications Programming ,MW ,24,Neema Jeevan Kanapala (P) 
11861,CSCE ,102,30 - Columbia Full Term ,General Applications Programming ,MW ,24,Catherine T Matthews (P) 
11864,CSCE ,102,30 - Columbia Full Term ,General Applications Programming ,MW ,24,Catherine T Matthews (P) 
11868,CSCE ,102,30 - Columbia Full Term ,General Applications Programming ,MW ,24,Catherine T Matthews (P) 
11872,CSCE ,102,30 - Columbia Full Term ,General Applications Programming ,TR ,24,Neema Jeevan Kanapala (P) 
11873,CSCE ,102,30 - Columbia Full Term ,General Applications Programming ,TR ,24,Neema Jeevan Kanapala 
11875,CSCE ,102,30 - Columbia Full Term ,General Applications Programming ,TR ,23,Neema Jeevan Kanapala (P) 
11876,CSCE ,102,30 - Columbia Full Term ,General Applications Programming ,TR ,24,Mohammed Behbooei (P) 
11877,CSCE ,102,30 - Columbia Full Term ,General Applications Programming ,TR ,24,Mohammed Behbooei (P) 
11879,CSCE ,102,30 - Columbia Full Term ,General Applications Programming ,TR ,24,Mohammed Behbooei (P) 
11880,CSCE ,102,30 - Columbia Full Term ,General Applications Programming ,TR ,24,Alireza Nasiri (P) 
